日付,PCR 検査陽性者数(単日)
2020/03/01,15
2020/03/02,14
2020/03/03,16
2020/03/04,33
2020/03/05,31
2020/03/06,59
2020/03/07,47
2020/03/08,33
2020/03/09,26
2020/03/10,54
2020/03/11,52
2020/03/12,55
2020/03/13,40
2020/03/14,62
2020/03/15,33
2020/03/16,15
2020/03/17,44
2020/03/18,39
2020/03/19,36
2020/03/20,53
2020/03/21,34
2020/03/22,42
2020/03/23,38
2020/03/24,65
2020/03/25,93
2020/03/26,96
2020/03/27,104
2020/03/28,194
2020/03/29,185
2020/03/30,74
2020/03/31,218
2020/04/01,224
2020/04/02,253
2020/04/03,337
2020/04/04,370
2020/04/05,386
2020/04/06,270
2020/04/07,377
2020/04/08,550
2020/04/09,572
2020/04/10,708
2020/04/11,676
2020/04/12,571
2020/04/13,333
2020/04/14,511
2020/04/15,511
2020/04/16,596
2020/04/17,575
2020/04/18,590
2020/04/19,372
2020/04/20,365
2020/04/21,374
2020/04/22,450
2020/04/23,445
2020/04/24,451
2020/04/25,374
2020/04/26,221
2020/04/27,189
2020/04/28,284
2020/04/29,227
2020/04/30,199
2020/05/01,266
2020/05/02,302
2020/05/03,204
2020/05/04,177
2020/05/05,120
2020/05/06,106
2020/05/07,96
2020/05/08,89
2020/05/09,108
2020/05/10,68
2020/05/11,50
2020/05/12,80
2020/05/13,54
2020/05/14,100
2020/05/15,52
2020/05/16,57
2020/05/17,30
2020/05/18,30
2020/05/19,31
2020/05/20,38
2020/05/21,43
2020/05/22,31
2020/05/23,29
2020/05/24,40
2020/05/25,20
2020/05/26,27
2020/05/27,37
2020/05/28,61
2020/05/29,64
2020/05/30,46
2020/05/31,32
2020/06/01,36
2020/06/02,51
2020/06/03,26
2020/06/04,45
2020/06/05,41
2020/06/06,45
2020/06/07,32
2020/06/08,22
2020/06/09,30
2020/06/10,36
2020/06/11,40
2020/06/12,57
2020/06/13,43
2020/06/14,62
2020/06/15,60
2020/06/16,42
2020/06/17,43
2020/06/18,68
2020/06/19,54
2020/06/20,65
2020/06/21,49
2020/06/22,40
2020/06/23,53
2020/06/24,89
2020/06/25,79
2020/06/26,99
2020/06/27,88
2020/06/28,111
2020/06/29,110
2020/06/30,132
2020/07/01,125
2020/07/02,194
2020/07/03,249
2020/07/04,268
2020/07/05,195
2020/07/06,172
2020/07/07,208
2020/07/08,203
2020/07/09,352
2020/07/10,420
2020/07/11,373
2020/07/12,391
2020/07/13,248
2020/07/14,327
2020/07/15,440
2020/07/16,619
2020/07/17,588
2020/07/18,655
2020/07/19,501
2020/07/20,407
2020/07/21,618
2020/07/22,792
2020/07/23,966
2020/07/24,766
2020/07/25,798
2020/07/26,830
2020/07/27,581
2020/07/28,968
2020/07/29,1242
2020/07/30,1297
2020/07/31,1574
2020/08/01,1535
2020/08/02,1324
2020/08/03,937
2020/08/04,1234
2020/08/05,1350
2020/08/06,1479
2020/08/07,1595
2020/08/08,1523
2020/08/09,1486
2020/08/10,836
2020/08/11,693
2020/08/12,969
2020/08/13,1176
2020/08/14,1356
2020/08/15,1234
2020/08/16,1017
2020/08/17,630
2020/08/18,904
2020/08/19,1080
2020/08/20,1182
2020/08/21,1036
2020/08/22,985
2020/08/23,739
2020/08/24,491
2020/08/25,712
2020/08/26,893
2020/08/27,867
2020/08/28,870
2020/08/29,844
2020/08/30,598
2020/08/31,425
2020/09/01,624
2020/09/02,589
2020/09/03,656
2020/09/04,583
2020/09/05,598
2020/09/06,447
2020/09/07,288
2020/09/08,514
2020/09/09,507
2020/09/10,709
2020/09/11,639
2020/09/12,641
2020/09/13,439
2020/09/14,265
2020/09/15,531
2020/09/16,543
2020/09/17,480
2020/09/18,569
2020/09/19,597
2020/09/20,469
2020/09/21,307
2020/09/22,322
2020/09/23,216
2020/09/24,477
2020/09/25,570
2020/09/26,638
2020/09/27,478
2020/09/28,294
2020/09/29,531
2020/09/30,570
2020/10/01,623
2020/10/02,537
2020/10/03,564
2020/10/04,395
2020/10/05,271
2020/10/06,497
2020/10/07,505
2020/10/08,622
2020/10/09,594
2020/10/10,669
2020/10/11,432
2020/10/12,273
2020/10/13,494
2020/10/14,549
2020/10/15,703
2020/10/16,635
2020/10/17,579
2020/10/18,457
